user_id,first_name,last_name,phone_number,country_name,province,role,street_address,password
1,Abbie,Ken,508 420-3608,China,Guangdong,consumer,Guangdong Gongzhuling,6VzqqlGiL
2,Abbott,Leslie,769 044-5994,China,Guangxi,staff,Guangxi Renhuai,eBmQCZ3vw
3,Abe,Jesse,701 801-2284,Belize,International,consumer,International Belmopan,ZViF6BBdA1k
4,Abigail,Jeffrey,305 985-4508,China,Shanghai,consumer,Shanghai Donggang,0Jt7tpru
5,Ada,Larissa,760 795-2705,Yemen,International,consumer,International Sana'a,TvQNh4E
6,Addison,Delightful,580 871-8090,China,Ningxia,consumer,Ningxia Fuzhou,9rBRpFYJSR
7,Adelaide,Kara,787 389-1388,China,Tianjin,consumer,Tianjin Huaihua,F1Nr5pKxHu
8,Adele,Marc,351 426-6137,China,Sichuan,consumer,Sichuan Tianjin,4dWIrTQJ
9,Adrian,Beloved,414 520-4074,China,Shaanxi,consumer,Shaanxi Guilin,BoqW6q7L
10,Adrienne,Royce,229 411-9605,China,Xinjiang,consumer,Xinjiang Jiujiang,XrUtmVzorF94
11,Agatha,Lambert,806 121-4328,China,Shanxi,consumer,Shanxi Jingzhou,zeSXDOzjQJg
12,Agnes,Konrad,867 175-8841,China,Macau,consumer,Macau Danzhou,HOS77L
13,Aiken,Gifted,770 599-7225,Antigua and Barbuda,International,consumer,International St. John's,exozNTwAHGJt
14,Aileen,Katrina,806 362-7548,United States,International,consumer,International San Francisco,tcF81UQ
15,Ainsley,Wayne,601 842-6439,China,Tibet,consumer,Tibet Changge,dKqblYb
16,Al,Doyle,626 626-3319,China,Anhui,consumer,Anhui Enshi,KPeDFqXD
17,Alan,Eli,303 003-3647,China,Shanghai,consumer,Shanghai Yixing,wUakXcA
18,Alana,Verda,586 611-8476,China,Hunan,consumer,Hunan Anda,AstNPOgbtl
19,Alaric,Kelvin,573 389-6395,Jordan,International,consumer,International Amman,fTkopWiwH
20,Alban,Luciana,236 719-4630,China,Ningxia,staff,Ningxia Tongren,8TVQtMAO3
21,Albert,Erik,904 294-0710,United States,International,consumer,International San Fernando,2dCsmjvej5JZ
22,Albion,Dillon,309 790-4251,Guinea,International,consumer,International Conakry,d2smq6p
23,Aldrich,Kelsey,937 456-3806,Poland,International,consumer,International Warsaw,ijNOpd7
24,Alec,Monica,956 172-9921,China,Guizhou,consumer,Guizhou Puning,8uTxY6dILNP
25,Alex,Walter,361 268-1616,United States,International,consumer,International Avondale,OX5Kq5gOLUw7
26,Alex,Fox,403 595-8571,China,Sichuan,consumer,Sichuan Suihua,qvVg8WI
27,Alexander,Dalton,904 373-7273,Jamaica,International,consumer,International Kingston,RjHDxixJeqP
28,Alexandra,Kyla,902 813-8462,China,Shaanxi,consumer,Shaanxi Xuchang,J6W1YzOWX
29,Alexis,Pamela,657 072-8753,China,Heilongjiang,consumer,Heilongjiang Ning'an,nu3ECDTgy
30,Alf,Hilda,541 462-0759,China,Tianjin,staff,Tianjin Mengzhou,9tolbaDAu6
31,Alfie,Kerwin,863 036-9895,China,Beijing,consumer,Beijing Dalian,kuXIH7oop
32,Alfred,Supplanter,501 170-6533,China,Qinghai,consumer,Qinghai Wuyishan,XH5B7a
33,Alger,Perfect,458 154-0782,Mozambique,International,consumer,International Maputo,8Rzd0h
34,Algernon,Naomi,407 583-0669,Russia,International,consumer,International Moscow,WUaL9e
